,POI_category_name,POI_category_ID,POI_yelp_id,POI_alias,POI_name,POI_image_url,POI_is_closed,POI_url,POI_review_count,POI_rating,POI_price,POI_phone,POI_display_phone
0,Bar,13003,u-tcnG8zdDG8QWYTctxyfg,cactus-club-cafe-vancouver,Cactus Club Cafe,https://s3-media3.fl.yelpcdn.com/bphoto/wymPas039bYUy5-fKz1XMA/o.jpg,False,https://www.yelp.com/biz/cactus-club-cafe-vancouver?adjust_creative=NIcD8b9uXX3kw0W6kNfMVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NIcD8b9uXX3kw0W6kNfMVw,140,3.5,$$,16047146000.0,+1 604-714-6000
3,Bar,13003,lI_MtIincsGqUGMmvzEZRw,v-yaletown-vancouver,V Yaletown,https://s3-media1.fl.yelpcdn.com/bphoto/mDYQniIWEBdcAkRFLxyiwA/o.jpg,False,https://www.yelp.com/biz/v-yaletown-vancouver?adjust_creative=NIcD8b9uXX3kw0W6kNfMVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NIcD8b9uXX3kw0W6kNfMVw,6,3.5,$$,16046885954.0,+1 604-688-5954
6,Bar,13003,4D5u6jyLBCbsre_oxSiHRg,stages-bistro-and-lounge-vancouver,Stages Bistro & Lounge,https://s3-media1.fl.yelpcdn.com/bphoto/JV50fFIC6bxLvnF-Ekq87g/o.jpg,False,https://www.yelp.com/biz/stages-bistro-and-lounge-vancouver?adjust_creative=NIcD8b9uXX3kw0W6kNfMVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NIcD8b9uXX3kw0W6kNfMVw,22,3.0,$$,16048790511.0,+1 604-879-0511
8,Bar,13003,Rb0S3Ep3flHbPDSb0uXK4w,alley-16-vancouver,Alley 16,https://s3-media3.fl.yelpcdn.com/bphoto/7b7GkABUbBIpwLNOEJtrmA/o.jpg,False,https://www.yelp.com/biz/alley-16-vancouver?adjust_creative=NIcD8b9uXX3kw0W6kNfMVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NIcD8b9uXX3kw0W6kNfMVw,1,5.0,,16047105039.0,+1 604-710-5039
11,Bar,13003,orcUJqp90ZRlWT0XTdaTiQ,mount-pleasant-vintage-and-provisions-vancouver,Mount Pleasant Vintage & Provisions,https://s3-media2.fl.yelpcdn.com/bphoto/wJHFnf-kGbPp7Nolu6epWg/o.jpg,False,https://www.yelp.com/biz/mount-pleasant-vintage-and-provisions-vancouver?adjust_creative=NIcD8b9uXX3kw0W6kNfMVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NIcD8b9uXX3kw0W6kNfMVw,1,3.0,,,
12,Bar,13003,bJ4pQO2TupMWGltj7kfLfw,black-coffeehouse-lounge-vancouver,Black Coffeehouse + Lounge,https://s3-media2.fl.yelpcdn.com/bphoto/jCYXchKQSLvC4VYonNt7jw/o.jpg,False,https://www.yelp.com/biz/black-coffeehouse-lounge-vancouver?adjust_creative=NIcD8b9uXX3kw0W6kNfMVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NIcD8b9uXX3kw0W6kNfMVw,2,4.0,,16045680828.0,+1 604-568-0828
14,Bar,13003,7BIpo1jpmzyKlImIiZcvmQ,the-wicklow-public-house-vancouver,The Wicklow Public House,https://s3-media1.fl.yelpcdn.com/bphoto/LAMQVbMh8wCbdU-n-vdk2A/o.jpg,False,https://www.yelp.com/biz/the-wicklow-public-house-vancouver?adjust_creative=NIcD8b9uXX3kw0W6kNfMVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NIcD8b9uXX3kw0W6kNfMVw,87,3.5,$$,16048790821.0,+1 604-879-0821
15,Bar,13003,g1WcsMOzDGOmDvA-y0xMvQ,mahony-vancouver-2,Mahony,https://s3-media3.fl.yelpcdn.com/bphoto/HypwuJ5JcCqRK1ivQ3hiMw/o.jpg,False,https://www.yelp.com/biz/mahony-vancouver-2?adjust_creative=NIcD8b9uXX3kw0W6kNfMVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NIcD8b9uXX3kw0W6kNfMVw,159,2.5,$$,16048760234.0,+1 604-876-0234
16,Bar,13003,PUUk0AfdbGIUR0YF2U4Hrg,side-hustle-sandwiches-vancouver,Side Hustle Sandwiches,https://s3-media1.fl.yelpcdn.com/bphoto/EvzS4kI0RnaAY-pKg9iXHQ/o.jpg,False,https://www.yelp.com/biz/side-hustle-sandwiches-vancouver?adjust_creative=NIcD8b9uXX3kw0W6kNfMVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NIcD8b9uXX3kw0W6kNfMVw,17,4.5,,16048756510.0,+1 604-875-6510
18,Bar,13003,EichPhjYtOZDEC4KTUTxPw,r-and-b-ale-and-pizza-house-vancouver-2,R&B Ale & Pizza House,https://s3-media1.fl.yelpcdn.com/bphoto/NoJRRB-A-W2kMEC3Ec21SA/o.jpg,False,https://www.yelp.com/biz/r-and-b-ale-and-pizza-house-vancouver-2?adjust_creative=NIcD8b9uXX3kw0W6kNfMVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NIcD8b9uXX3kw0W6kNfMVw,23,4.0,$$,16043360275.0,+1 604-336-0275
