POI_category_name,POI_category_ID,station_id,station_name,fsq_id,POI_name,distance,timezone,link,categories_id,categories_name,categories_icon.prefix,categories_icon.suffix
EV Charging Station,19006,32603a87cfca71d0f7dfa3513bad69d5,Yaletown-Roundhouse Station,c19d6e727d27af219fa6f680,Tesla Supercharger,828,,/v3/places/c19d6e727d27af219fa6f680,19006.0,Electric Vehicle Charging Station,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,.png
EV Charging Station,19006,6d42fa40360f9a6b2bf641c7b8bb2862,Dunsmuir & Beatty,5b9d8e07f00a70002c36745e,Tesla Supercharger,927,America/Vancouver,/v3/places/5b9d8e07f00a70002c36745e,19006.0,Electric Vehicle Charging Station,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,.png
EV Charging Station,19006,6d42fa40360f9a6b2bf641c7b8bb2862,Dunsmuir & Beatty,cd6a5cb19a7c4ab43aae0a0a,Lucid Motors,684,,/v3/places/cd6a5cb19a7c4ab43aae0a0a,19006.0,Electric Vehicle Charging Station,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,.png
EV Charging Station,19006,6d42fa40360f9a6b2bf641c7b8bb2862,Dunsmuir & Beatty,c19d6e727d27af219fa6f680,Tesla Supercharger,769,,/v3/places/c19d6e727d27af219fa6f680,19006.0,Electric Vehicle Charging Station,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,.png
EV Charging Station,19006,3e112f9fe877e0003780386359060ae6,Canada Place,5b9d8e07f00a70002c36745e,Tesla Supercharger,130,America/Vancouver,/v3/places/5b9d8e07f00a70002c36745e,19006.0,Electric Vehicle Charging Station,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,.png
EV Charging Station,19006,3e112f9fe877e0003780386359060ae6,Canada Place,cd6a5cb19a7c4ab43aae0a0a,Lucid Motors,542,,/v3/places/cd6a5cb19a7c4ab43aae0a0a,19006.0,Electric Vehicle Charging Station,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,.png
EV Charging Station,19006,3e112f9fe877e0003780386359060ae6,Canada Place,a64ba6ed6b0057b1e68f5173,Electric Charging Station,725,,/v3/places/a64ba6ed6b0057b1e68f5173,19006.0,Electric Vehicle Charging Station,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,.png
EV Charging Station,19006,3e112f9fe877e0003780386359060ae6,Canada Place,c19d6e727d27af219fa6f680,Tesla Supercharger,792,,/v3/places/c19d6e727d27af219fa6f680,19006.0,Electric Vehicle Charging Station,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,.png
EV Charging Station,19006,6993b3dbb0758927967592ea612a2b1e,Granville & Georgia,5b9d8e07f00a70002c36745e,Tesla Supercharger,645,America/Vancouver,/v3/places/5b9d8e07f00a70002c36745e,19006.0,Electric Vehicle Charging Station,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,.png
EV Charging Station,19006,6993b3dbb0758927967592ea612a2b1e,Granville & Georgia,c19d6e727d27af219fa6f680,Tesla Supercharger,132,,/v3/places/c19d6e727d27af219fa6f680,19006.0,Electric Vehicle Charging Station,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,.png
EV Charging Station,19006,6993b3dbb0758927967592ea612a2b1e,Granville & Georgia,cd6a5cb19a7c4ab43aae0a0a,Lucid Motors,133,,/v3/places/cd6a5cb19a7c4ab43aae0a0a,19006.0,Electric Vehicle Charging Station,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,.png
EV Charging Station,19006,6993b3dbb0758927967592ea612a2b1e,Granville & Georgia,a64ba6ed6b0057b1e68f5173,Electric Charging Station,375,,/v3/places/a64ba6ed6b0057b1e68f5173,19006.0,Electric Vehicle Charging Station,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,.png
EV Charging Station,19006,bf8408067b0e0c963f3ff526977bcef3,Pender & Burrard,5b9d8e07f00a70002c36745e,Tesla Supercharger,294,America/Vancouver,/v3/places/5b9d8e07f00a70002c36745e,19006.0,Electric Vehicle Charging Station,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,.png
EV Charging Station,19006,bf8408067b0e0c963f3ff526977bcef3,Pender & Burrard,a64ba6ed6b0057b1e68f5173,Electric Charging Station,365,,/v3/places/a64ba6ed6b0057b1e68f5173,19006.0,Electric Vehicle Charging Station,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,.png
EV Charging Station,19006,bf8408067b0e0c963f3ff526977bcef3,Pender & Burrard,cd6a5cb19a7c4ab43aae0a0a,Lucid Motors,407,,/v3/places/cd6a5cb19a7c4ab43aae0a0a,19006.0,Electric Vehicle Charging Station,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,.png
EV Charging Station,19006,bf8408067b0e0c963f3ff526977bcef3,Pender & Burrard,c19d6e727d27af219fa6f680,Tesla Supercharger,585,,/v3/places/c19d6e727d27af219fa6f680,19006.0,Electric Vehicle Charging Station,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,.png
EV Charging Station,19006,d2244f1a81d317c76cabd65e81250835,Marinaside & Davie,c19d6e727d27af219fa6f680,Tesla Supercharger,955,,/v3/places/c19d6e727d27af219fa6f680,19006.0,Electric Vehicle Charging Station,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,.png
EV Charging Station,19006,0b543fc4e694fe07a54dac48bb1b3390,Robson & Hornby,5b9d8e07f00a70002c36745e,Tesla Supercharger,766,America/Vancouver,/v3/places/5b9d8e07f00a70002c36745e,19006.0,Electric Vehicle Charging Station,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,.png
EV Charging Station,19006,0b543fc4e694fe07a54dac48bb1b3390,Robson & Hornby,c19d6e727d27af219fa6f680,Tesla Supercharger,162,,/v3/places/c19d6e727d27af219fa6f680,19006.0,Electric Vehicle Charging Station,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,.png
EV Charging Station,19006,0b543fc4e694fe07a54dac48bb1b3390,Robson & Hornby,a64ba6ed6b0057b1e68f5173,Electric Charging Station,228,,/v3/places/a64ba6ed6b0057b1e68f5173,19006.0,Electric Vehicle Charging Station,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,.png
EV Charging Station,19006,0b543fc4e694fe07a54dac48bb1b3390,Robson & Hornby,cd6a5cb19a7c4ab43aae0a0a,Lucid Motors,329,,/v3/places/cd6a5cb19a7c4ab43aae0a0a,19006.0,Electric Vehicle Charging Station,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,.png
EV Charging Station,19006,1b4c6f63f4bfbbd983992dbdca776865,Cordova & Granville,5b9d8e07f00a70002c36745e,Tesla Supercharger,200,America/Vancouver,/v3/places/5b9d8e07f00a70002c36745e,19006.0,Electric Vehicle Charging Station,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,.png
EV Charging Station,19006,1b4c6f63f4bfbbd983992dbdca776865,Cordova & Granville,cd6a5cb19a7c4ab43aae0a0a,Lucid Motors,433,,/v3/places/cd6a5cb19a7c4ab43aae0a0a,19006.0,Electric Vehicle Charging Station,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,.png
EV Charging Station,19006,1b4c6f63f4bfbbd983992dbdca776865,Cordova & Granville,a64ba6ed6b0057b1e68f5173,Electric Charging Station,666,,/v3/places/a64ba6ed6b0057b1e68f5173,19006.0,Electric Vehicle Charging Station,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,.png
EV Charging Station,19006,1b4c6f63f4bfbbd983992dbdca776865,Cordova & Granville,c19d6e727d27af219fa6f680,Tesla Supercharger,684,,/v3/places/c19d6e727d27af219fa6f680,19006.0,Electric Vehicle Charging Station,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,.png
EV Charging Station,19006,fbb1d30d7f30b049873f5be5688563d4,Hornby & Pender,5b9d8e07f00a70002c36745e,Tesla Supercharger,230,America/Vancouver,/v3/places/5b9d8e07f00a70002c36745e,19006.0,Electric Vehicle Charging Station,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,.png
EV Charging Station,19006,fbb1d30d7f30b049873f5be5688563d4,Hornby & Pender,cd6a5cb19a7c4ab43aae0a0a,Lucid Motors,293,,/v3/places/cd6a5cb19a7c4ab43aae0a0a,19006.0,Electric Vehicle Charging Station,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,.png
