POI_category_name,POI_category_ID,station_id,station_name,fsq_id,POI_name,distance,timezone,link,categories_id,categories_name,categories_icon.prefix,categories_icon.suffix
Fuel Station,19007,32603a87cfca71d0f7dfa3513bad69d5,Yaletown-Roundhouse Station,4b429b6af964a52066d725e3,Esso,752,America/Vancouver,/v3/places/4b429b6af964a52066d725e3,19007.0,Fuel Station,https://ss3.4sqi.net/img/categories_v2/shops/gas_,.png
Fuel Station,19007,32603a87cfca71d0f7dfa3513bad69d5,Yaletown-Roundhouse Station,1ceb3aad92b34f72d6e85ba5,Shell Gas,750,,/v3/places/1ceb3aad92b34f72d6e85ba5,19007.0,Fuel Station,https://ss3.4sqi.net/img/categories_v2/shops/gas_,.png
Fuel Station,19007,32603a87cfca71d0f7dfa3513bad69d5,Yaletown-Roundhouse Station,a342fe9b0b214fdeebc467f4,Burrard & Davie Esso,768,,/v3/places/a342fe9b0b214fdeebc467f4,19007.0,Fuel Station,https://ss3.4sqi.net/img/categories_v2/shops/gas_,.png
Fuel Station,19007,6d42fa40360f9a6b2bf641c7b8bb2862,Dunsmuir & Beatty,c166e0d61c034f9d19d68a7b,Via. Vis. Mobil Solutions Inc,528,,/v3/places/c166e0d61c034f9d19d68a7b,19007.0,Fuel Station,https://ss3.4sqi.net/img/categories_v2/shops/gas_,.png
Fuel Station,19007,66f873d641d448bd1572ab086665a458,12th & Yukon (City Hall),4b516afbf964a520d84c27e3,Chevron,926,America/Vancouver,/v3/places/4b516afbf964a520d84c27e3,19007.0,Fuel Station,https://ss3.4sqi.net/img/categories_v2/shops/gas_,.png
Fuel Station,19007,66f873d641d448bd1572ab086665a458,12th & Yukon (City Hall),037839d00e224e6280ac8709,12th & Main Chevron Self-Serve,926,,/v3/places/037839d00e224e6280ac8709,19007.0,Fuel Station,https://ss3.4sqi.net/img/categories_v2/shops/gas_,.png
Fuel Station,19007,95e624191c655f50e401d280cd39a9ad,Ontario & Seawall,4c5afb75ec2520a148db5212,Shell,339,America/Vancouver,/v3/places/4c5afb75ec2520a148db5212,19007.0,Fuel Station,https://ss3.4sqi.net/img/categories_v2/shops/gas_,.png
Fuel Station,19007,3e112f9fe877e0003780386359060ae6,Canada Place,4f033d534690f6eced6e17d8,Chevron,480,America/Vancouver,/v3/places/4f033d534690f6eced6e17d8,19007.0,Fuel Station,https://ss3.4sqi.net/img/categories_v2/shops/gas_,.png
Fuel Station,19007,3e112f9fe877e0003780386359060ae6,Canada Place,c166e0d61c034f9d19d68a7b,Via. Vis. Mobil Solutions Inc,323,,/v3/places/c166e0d61c034f9d19d68a7b,19007.0,Fuel Station,https://ss3.4sqi.net/img/categories_v2/shops/gas_,.png
Fuel Station,19007,3e112f9fe877e0003780386359060ae6,Canada Place,0bad780499a84b740c110ded,CPE Oil & Gas Management Corp,434,,/v3/places/0bad780499a84b740c110ded,19007.0,Fuel Station,https://ss3.4sqi.net/img/categories_v2/shops/gas_,.png
Fuel Station,19007,6993b3dbb0758927967592ea612a2b1e,Granville & Georgia,4b429b6af964a52066d725e3,Esso,898,America/Vancouver,/v3/places/4b429b6af964a52066d725e3,19007.0,Fuel Station,https://ss3.4sqi.net/img/categories_v2/shops/gas_,.png
Fuel Station,19007,6993b3dbb0758927967592ea612a2b1e,Granville & Georgia,4f033d534690f6eced6e17d8,Chevron,535,America/Vancouver,/v3/places/4f033d534690f6eced6e17d8,19007.0,Fuel Station,https://ss3.4sqi.net/img/categories_v2/shops/gas_,.png
Fuel Station,19007,6993b3dbb0758927967592ea612a2b1e,Granville & Georgia,c166e0d61c034f9d19d68a7b,Via. Vis. Mobil Solutions Inc,515,,/v3/places/c166e0d61c034f9d19d68a7b,19007.0,Fuel Station,https://ss3.4sqi.net/img/categories_v2/shops/gas_,.png
Fuel Station,19007,6993b3dbb0758927967592ea612a2b1e,Granville & Georgia,0bad780499a84b740c110ded,CPE Oil & Gas Management Corp,569,,/v3/places/0bad780499a84b740c110ded,19007.0,Fuel Station,https://ss3.4sqi.net/img/categories_v2/shops/gas_,.png
Fuel Station,19007,6993b3dbb0758927967592ea612a2b1e,Granville & Georgia,1ceb3aad92b34f72d6e85ba5,Shell Gas,786,,/v3/places/1ceb3aad92b34f72d6e85ba5,19007.0,Fuel Station,https://ss3.4sqi.net/img/categories_v2/shops/gas_,.png
Fuel Station,19007,6993b3dbb0758927967592ea612a2b1e,Granville & Georgia,a342fe9b0b214fdeebc467f4,Burrard & Davie Esso,894,,/v3/places/a342fe9b0b214fdeebc467f4,19007.0,Fuel Station,https://ss3.4sqi.net/img/categories_v2/shops/gas_,.png
Fuel Station,19007,bf8408067b0e0c963f3ff526977bcef3,Pender & Burrard,4f033d534690f6eced6e17d8,Chevron,69,America/Vancouver,/v3/places/4f033d534690f6eced6e17d8,19007.0,Fuel Station,https://ss3.4sqi.net/img/categories_v2/shops/gas_,.png
Fuel Station,19007,bf8408067b0e0c963f3ff526977bcef3,Pender & Burrard,0bad780499a84b740c110ded,CPE Oil & Gas Management Corp,52,,/v3/places/0bad780499a84b740c110ded,19007.0,Fuel Station,https://ss3.4sqi.net/img/categories_v2/shops/gas_,.png
Fuel Station,19007,bf8408067b0e0c963f3ff526977bcef3,Pender & Burrard,c166e0d61c034f9d19d68a7b,Via. Vis. Mobil Solutions Inc,559,,/v3/places/c166e0d61c034f9d19d68a7b,19007.0,Fuel Station,https://ss3.4sqi.net/img/categories_v2/shops/gas_,.png
Fuel Station,19007,0b543fc4e694fe07a54dac48bb1b3390,Robson & Hornby,4b429b6af964a52066d725e3,Esso,698,America/Vancouver,/v3/places/4b429b6af964a52066d725e3,19007.0,Fuel Station,https://ss3.4sqi.net/img/categories_v2/shops/gas_,.png
Fuel Station,19007,0b543fc4e694fe07a54dac48bb1b3390,Robson & Hornby,4f033d534690f6eced6e17d8,Chevron,526,America/Vancouver,/v3/places/4f033d534690f6eced6e17d8,19007.0,Fuel Station,https://ss3.4sqi.net/img/categories_v2/shops/gas_,.png
Fuel Station,19007,0b543fc4e694fe07a54dac48bb1b3390,Robson & Hornby,1ceb3aad92b34f72d6e85ba5,Shell Gas,579,,/v3/places/1ceb3aad92b34f72d6e85ba5,19007.0,Fuel Station,https://ss3.4sqi.net/img/categories_v2/shops/gas_,.png
Fuel Station,19007,0b543fc4e694fe07a54dac48bb1b3390,Robson & Hornby,0bad780499a84b740c110ded,CPE Oil & Gas Management Corp,580,,/v3/places/0bad780499a84b740c110ded,19007.0,Fuel Station,https://ss3.4sqi.net/img/categories_v2/shops/gas_,.png
Fuel Station,19007,0b543fc4e694fe07a54dac48bb1b3390,Robson & Hornby,a342fe9b0b214fdeebc467f4,Burrard & Davie Esso,690,,/v3/places/a342fe9b0b214fdeebc467f4,19007.0,Fuel Station,https://ss3.4sqi.net/img/categories_v2/shops/gas_,.png
Fuel Station,19007,0b543fc4e694fe07a54dac48bb1b3390,Robson & Hornby,c166e0d61c034f9d19d68a7b,Via. Vis. Mobil Solutions Inc,746,,/v3/places/c166e0d61c034f9d19d68a7b,19007.0,Fuel Station,https://ss3.4sqi.net/img/categories_v2/shops/gas_,.png
Fuel Station,19007,1b4c6f63f4bfbbd983992dbdca776865,Cordova & Granville,4f033d534690f6eced6e17d8,Chevron,476,America/Vancouver,/v3/places/4f033d534690f6eced6e17d8,19007.0,Fuel Station,https://ss3.4sqi.net/img/categories_v2/shops/gas_,.png
Fuel Station,19007,1b4c6f63f4bfbbd983992dbdca776865,Cordova & Granville,c166e0d61c034f9d19d68a7b,Via. Vis. Mobil Solutions Inc,203,,/v3/places/c166e0d61c034f9d19d68a7b,19007.0,Fuel Station,https://ss3.4sqi.net/img/categories_v2/shops/gas_,.png
Fuel Station,19007,1b4c6f63f4bfbbd983992dbdca776865,Cordova & Granville,0bad780499a84b740c110ded,CPE Oil & Gas Management Corp,442,,/v3/places/0bad780499a84b740c110ded,19007.0,Fuel Station,https://ss3.4sqi.net/img/categories_v2/shops/gas_,.png
Fuel Station,19007,fbb1d30d7f30b049873f5be5688563d4,Hornby & Pender,4f033d534690f6eced6e17d8,Chevron,245,America/Vancouver,/v3/places/4f033d534690f6eced6e17d8,19007.0,Fuel Station,https://ss3.4sqi.net/img/categories_v2/shops/gas_,.png
Fuel Station,19007,fbb1d30d7f30b049873f5be5688563d4,Hornby & Pender,0bad780499a84b740c110ded,CPE Oil & Gas Management Corp,232,,/v3/places/0bad780499a84b740c110ded,19007.0,Fuel Station,https://ss3.4sqi.net/img/categories_v2/shops/gas_,.png
Fuel Station,19007,fbb1d30d7f30b049873f5be5688563d4,Hornby & Pender,c166e0d61c034f9d19d68a7b,Via. Vis. Mobil Solutions Inc,377,,/v3/places/c166e0d61c034f9d19d68a7b,19007.0,Fuel Station,https://ss3.4sqi.net/img/categories_v2/shops/gas_,.png
Fuel Station,19007,7181df50ee1d1a05559399211382b7c8,Homer & Robson (Vancouver Public Library),4b429b6af964a52066d725e3,Esso,981,America/Vancouver,/v3/places/4b429b6af964a52066d725e3,19007.0,Fuel Station,https://ss3.4sqi.net/img/categories_v2/shops/gas_,.png
Fuel Station,19007,7181df50ee1d1a05559399211382b7c8,Homer & Robson (Vancouver Public Library),4f033d534690f6eced6e17d8,Chevron,860,America/Vancouver,/v3/places/4f033d534690f6eced6e17d8,19007.0,Fuel Station,https://ss3.4sqi.net/img/categories_v2/shops/gas_,.png
Fuel Station,19007,7181df50ee1d1a05559399211382b7c8,Homer & Robson (Vancouver Public Library),c166e0d61c034f9d19d68a7b,Via. Vis. Mobil Solutions Inc,595,,/v3/places/c166e0d61c034f9d19d68a7b,19007.0,Fuel Station,https://ss3.4sqi.net/img/categories_v2/shops/gas_,.png
Fuel Station,19007,7181df50ee1d1a05559399211382b7c8,Homer & Robson (Vancouver Public Library),0bad780499a84b740c110ded,CPE Oil & Gas Management Corp,885,,/v3/places/0bad780499a84b740c110ded,19007.0,Fuel Station,https://ss3.4sqi.net/img/categories_v2/shops/gas_,.png
Fuel Station,19007,7181df50ee1d1a05559399211382b7c8,Homer & Robson (Vancouver Public Library),1ceb3aad92b34f72d6e85ba5,Shell Gas,892,,/v3/places/1ceb3aad92b34f72d6e85ba5,19007.0,Fuel Station,https://ss3.4sqi.net/img/categories_v2/shops/gas_,.png
Fuel Station,19007,7181df50ee1d1a05559399211382b7c8,Homer & Robson (Vancouver Public Library),a342fe9b0b214fdeebc467f4,Burrard & Davie Esso,985,,/v3/places/a342fe9b0b214fdeebc467f4,19007.0,Fuel Station,https://ss3.4sqi.net/img/categories_v2/shops/gas_,.png
Fuel Station,19007,2ef000bc9d4650d8cc6198c4d570b19f,Beatty & Robson,c166e0d61c034f9d19d68a7b,Via. Vis. Mobil Solutions Inc,779,,/v3/places/c166e0d61c034f9d19d68a7b,19007.0,Fuel Station,https://ss3.4sqi.net/img/categories_v2/shops/gas_,.png
Fuel Station,19007,b7683a86874e6300fd89f4cc0b075f57,Beatty & Nelson,4b429b6af964a52066d725e3,Esso,994,America/Vancouver,/v3/places/4b429b6af964a52066d725e3,19007.0,Fuel Station,https://ss3.4sqi.net/img/categories_v2/shops/gas_,.png
Fuel Station,19007,b7683a86874e6300fd89f4cc0b075f57,Beatty & Nelson,1ceb3aad92b34f72d6e85ba5,Shell Gas,951,,/v3/places/1ceb3aad92b34f72d6e85ba5,19007.0,Fuel Station,https://ss3.4sqi.net/img/categories_v2/shops/gas_,.png
Fuel Station,19007,3367c1e1dbf73caf7c10e4c96a92f58d,Abbott & Cordova,c166e0d61c034f9d19d68a7b,Via. Vis. Mobil Solutions Inc,411,,/v3/places/c166e0d61c034f9d19d68a7b,19007.0,Fuel Station,https://ss3.4sqi.net/img/categories_v2/shops/gas_,.png
Fuel Station,19007,664502c28e8147615f17b8ea355f40d0,Cordova & Bute,4f033d534690f6eced6e17d8,Chevron,279,America/Vancouver,/v3/places/4f033d534690f6eced6e17d8,19007.0,Fuel Station,https://ss3.4sqi.net/img/categories_v2/shops/gas_,.png
Fuel Station,19007,664502c28e8147615f17b8ea355f40d0,Cordova & Bute,0bad780499a84b740c110ded,CPE Oil & Gas Management Corp,287,,/v3/places/0bad780499a84b740c110ded,19007.0,Fuel Station,https://ss3.4sqi.net/img/categories_v2/shops/gas_,.png
Fuel Station,19007,664502c28e8147615f17b8ea355f40d0,Cordova & Bute,c166e0d61c034f9d19d68a7b,Via. Vis. Mobil Solutions Inc,891,,/v3/places/c166e0d61c034f9d19d68a7b,19007.0,Fuel Station,https://ss3.4sqi.net/img/categories_v2/shops/gas_,.png
Fuel Station,19007,6c24a62b5ee0a2a8014eb0dfb6d40025,Hornby & Nelson,4b429b6af964a52066d725e3,Esso,402,America/Vancouver,/v3/places/4b429b6af964a52066d725e3,19007.0,Fuel Station,https://ss3.4sqi.net/img/categories_v2/shops/gas_,.png
Fuel Station,19007,6c24a62b5ee0a2a8014eb0dfb6d40025,Hornby & Nelson,4f033d534690f6eced6e17d8,Chevron,825,America/Vancouver,/v3/places/4f033d534690f6eced6e17d8,19007.0,Fuel Station,https://ss3.4sqi.net/img/categories_v2/shops/gas_,.png
Fuel Station,19007,6c24a62b5ee0a2a8014eb0dfb6d40025,Hornby & Nelson,1ceb3aad92b34f72d6e85ba5,Shell Gas,289,,/v3/places/1ceb3aad92b34f72d6e85ba5,19007.0,Fuel Station,https://ss3.4sqi.net/img/categories_v2/shops/gas_,.png
Fuel Station,19007,6c24a62b5ee0a2a8014eb0dfb6d40025,Hornby & Nelson,a342fe9b0b214fdeebc467f4,Burrard & Davie Esso,398,,/v3/places/a342fe9b0b214fdeebc467f4,19007.0,Fuel Station,https://ss3.4sqi.net/img/categories_v2/shops/gas_,.png
Fuel Station,19007,6c24a62b5ee0a2a8014eb0dfb6d40025,Hornby & Nelson,0bad780499a84b740c110ded,CPE Oil & Gas Management Corp,881,,/v3/places/0bad780499a84b740c110ded,19007.0,Fuel Station,https://ss3.4sqi.net/img/categories_v2/shops/gas_,.png
Fuel Station,19007,fad9ebcf614dd1a72593a34072ff76f8,Helmcken & Burrard,4b429b6af964a52066d725e3,Esso,197,America/Vancouver,/v3/places/4b429b6af964a52066d725e3,19007.0,Fuel Station,https://ss3.4sqi.net/img/categories_v2/shops/gas_,.png
Fuel Station,19007,fad9ebcf614dd1a72593a34072ff76f8,Helmcken & Burrard,4f033d534690f6eced6e17d8,Chevron,991,America/Vancouver,/v3/places/4f033d534690f6eced6e17d8,19007.0,Fuel Station,https://ss3.4sqi.net/img/categories_v2/shops/gas_,.png
Fuel Station,19007,fad9ebcf614dd1a72593a34072ff76f8,Helmcken & Burrard,1ceb3aad92b34f72d6e85ba5,Shell Gas,82,,/v3/places/1ceb3aad92b34f72d6e85ba5,19007.0,Fuel Station,https://ss3.4sqi.net/img/categories_v2/shops/gas_,.png
Fuel Station,19007,fad9ebcf614dd1a72593a34072ff76f8,Helmcken & Burrard,a342fe9b0b214fdeebc467f4,Burrard & Davie Esso,191,,/v3/places/a342fe9b0b214fdeebc467f4,19007.0,Fuel Station,https://ss3.4sqi.net/img/categories_v2/shops/gas_,.png
