POI_category_name,POI_category_ID,station_id,station_name,POI_id,POI_alias,POI_name,image_url,is_closed,url,review_count,rating,price,phone,display_phone,distance,categories_alias,categories_title
Transport Hub,19030,7a19c49f486d7c0c02b3685d7b240448,10th & Cambie,k_RKFjBMgXLJcnLfGDz6iA,broadway-city-hall-station-vancouver,Broadway-City Hall Station,https://s3-media2.fl.yelpcdn.com/bphoto/3f6d_1EKzcfs3gBr55Eopw/o.jpg,False,https://www.yelp.com/biz/broadway-city-hall-station-vancouver?adjust_creative=NIcD8b9uXX3kw0W6kNfMVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NIcD8b9uXX3kw0W6kNfMVw,8,3.5,,+16049533333,+1 604-953-3333,52.5337863494626,metrostations,Metro Stations
Transport Hub,19030,7a19c49f486d7c0c02b3685d7b240448,10th & Cambie,l1oXB9dcy6ra0Eh7IpgiMQ,shuttleman-vancouver,Shuttleman,,False,https://www.yelp.com/biz/shuttleman-vancouver?adjust_creative=NIcD8b9uXX3kw0W6kNfMVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NIcD8b9uXX3kw0W6kNfMVw,1,5.0,,+19076778537,+1 907-677-8537,144.3084223919269,airport_shuttles,Airport Shuttles
Transport Hub,19030,7a19c49f486d7c0c02b3685d7b240448,10th & Cambie,6gn2xd0DO2TnCVsn7fktOw,big-city-limousines-vancouver,Big City Limousines,https://s3-media2.fl.yelpcdn.com/bphoto/RHCQmdHcojGaCwTUPtwjyQ/o.jpg,False,https://www.yelp.com/biz/big-city-limousines-vancouver?adjust_creative=NIcD8b9uXX3kw0W6kNfMVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NIcD8b9uXX3kw0W6kNfMVw,6,1.5,,+16044405466,+1 604-440-5466,144.3084223919269,limos,Limos
Transport Hub,19030,7a19c49f486d7c0c02b3685d7b240448,10th & Cambie,VgxRIi1TeKTXQEKmh235qw,mobi-by-shaw-go-vancouver,Mobi by Shaw Go,https://s3-media4.fl.yelpcdn.com/bphoto/_CbCAD2MxmTE6uSUJ9zaqQ/o.jpg,False,https://www.yelp.com/biz/mobi-by-shaw-go-vancouver?adjust_creative=NIcD8b9uXX3kw0W6kNfMVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NIcD8b9uXX3kw0W6kNfMVw,10,1.5,,+17786551800,+1 778-655-1800,246.15270113858895,bikesharing,Bike Sharing
Transport Hub,19030,7a19c49f486d7c0c02b3685d7b240448,10th & Cambie,-jNd7hdq4EPGznG7ndL-ew,epic-rides-vancouver,Epic Rides,https://s3-media1.fl.yelpcdn.com/bphoto/0n2R4L5n6JbGOntQzzJHww/o.jpg,False,https://www.yelp.com/biz/epic-rides-vancouver?adjust_creative=NIcD8b9uXX3kw0W6kNfMVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NIcD8b9uXX3kw0W6kNfMVw,35,4.0,,+16043491234,+1 604-349-1234,616.8464875488684,publictransport,Public Transportation
Transport Hub,19030,7a19c49f486d7c0c02b3685d7b240448,10th & Cambie,l2SwI1shdmu0AjPzyIPNWQ,limobook-vancouver,Limobook,https://s3-media3.fl.yelpcdn.com/bphoto/Anp3H04H0R51FrWIj--kww/o.jpg,False,https://www.yelp.com/biz/limobook-vancouver?adjust_creative=NIcD8b9uXX3kw0W6kNfMVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NIcD8b9uXX3kw0W6kNfMVw,2,5.0,,+16042001224,+1 604-200-1224,868.6931826279732,limos,Limos
Transport Hub,19030,7a19c49f486d7c0c02b3685d7b240448,10th & Cambie,l2SwI1shdmu0AjPzyIPNWQ,limobook-vancouver,Limobook,https://s3-media3.fl.yelpcdn.com/bphoto/Anp3H04H0R51FrWIj--kww/o.jpg,False,https://www.yelp.com/biz/limobook-vancouver?adjust_creative=NIcD8b9uXX3kw0W6kNfMVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NIcD8b9uXX3kw0W6kNfMVw,2,5.0,,+16042001224,+1 604-200-1224,868.6931826279732,travelservices,Travel Services
Transport Hub,19030,7a19c49f486d7c0c02b3685d7b240448,10th & Cambie,BhwwgPYkSVoy2jYUMxoCyg,star-limousine-vancouver,Star Limousine,https://s3-media2.fl.yelpcdn.com/bphoto/kdGvvc5xIN6FfWUHZ7OXxg/o.jpg,False,https://www.yelp.com/biz/star-limousine-vancouver?adjust_creative=NIcD8b9uXX3kw0W6kNfMVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NIcD8b9uXX3kw0W6kNfMVw,8,3.0,,+16046855600,+1 604-685-5600,1479.2949988986552,limos,Limos
Transport Hub,19030,7a19c49f486d7c0c02b3685d7b240448,10th & Cambie,3WN7l-VxkvvWI3aT87gRxQ,king-limousine-service-vancouver-surrey,King Limousine Service Vancouver,https://s3-media4.fl.yelpcdn.com/bphoto/VjIiSUq8X4Inbeb2Ub3w6A/o.jpg,False,https://www.yelp.com/biz/king-limousine-service-vancouver-surrey?adjust_creative=NIcD8b9uXX3kw0W6kNfMVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NIcD8b9uXX3kw0W6kNfMVw,1,5.0,,+16046900929,+1 604-690-0929,1571.2133270476247,limos,Limos
Transport Hub,19030,7a19c49f486d7c0c02b3685d7b240448,10th & Cambie,16rJnoFlYd_UCmTGRXF0zg,intralink-transportation-vancouver,Intralink Transportation,https://s3-media2.fl.yelpcdn.com/bphoto/8T-FZ0UPV7IeXh7M7W8IsQ/o.jpg,False,https://www.yelp.com/biz/intralink-transportation-vancouver?adjust_creative=NIcD8b9uXX3kw0W6kNfMVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NIcD8b9uXX3kw0W6kNfMVw,1,5.0,,+16045215466,+1 604-521-5466,1910.482576872321,limos,Limos
