,station_empty_slots,station_free_bikes,station_normal_bikes,station_ebikes,station_slots,Bar_FS,EV_Charging_Station_FS,Fuel_Station_FS,Park_FS,Parking_FS,Restaurant_FS,Transport_Hub_FS,Bar_yelp,EV_Charging_Station_yelp,Fuel_Station_yelp,Park_yelp,Parking_yelp,Restaurant_yelp,Transport_Hub_yelp
0,14,21,17,4,35,26.0,0.0,0.0,13.0,6.0,50.0,11.0,26.0,1.0,1.0,9.0,2.0,50.0,50.0
1,7,9,8,1,16,50.0,1.0,3.0,21.0,21.0,50.0,37.0,50.0,0.0,2.0,17.0,6.0,50.0,19.0
2,13,13,13,0,26,50.0,3.0,1.0,20.0,49.0,50.0,45.0,50.0,0.0,1.0,11.0,21.0,50.0,36.0
3,14,2,2,0,16,27.0,0.0,2.0,12.0,6.0,50.0,12.0,28.0,1.0,3.0,11.0,2.0,50.0,50.0
4,7,9,7,2,16,19.0,0.0,0.0,14.0,6.0,46.0,11.0,11.0,1.0,0.0,10.0,2.0,50.0,50.0
5,3,11,10,1,14,40.0,0.0,0.0,21.0,12.0,50.0,19.0,50.0,1.0,1.0,13.0,4.0,50.0,50.0
6,12,2,2,0,14,43.0,0.0,0.0,22.0,11.0,50.0,14.0,47.0,1.0,1.0,12.0,2.0,50.0,50.0
7,13,7,6,1,20,44.0,0.0,1.0,17.0,14.0,50.0,24.0,49.0,1.0,1.0,8.0,5.0,50.0,50.0
8,6,20,19,1,26,50.0,4.0,3.0,12.0,49.0,50.0,50.0,50.0,0.0,0.0,6.0,20.0,50.0,30.0
9,9,11,11,0,20,50.0,4.0,6.0,19.0,50.0,50.0,50.0,50.0,0.0,2.0,12.0,21.0,50.0,33.0
10,13,13,12,1,26,50.0,4.0,3.0,15.0,50.0,50.0,50.0,50.0,0.0,1.0,8.0,21.0,50.0,30.0
11,2,20,19,1,22,50.0,1.0,0.0,18.0,23.0,50.0,31.0,50.0,0.0,2.0,15.0,6.0,50.0,11.0
12,22,7,5,2,30,50.0,4.0,6.0,19.0,50.0,50.0,50.0,50.0,0.0,2.0,12.0,20.0,50.0,34.0
13,1,21,21,0,22,50.0,4.0,3.0,12.0,50.0,50.0,50.0,50.0,0.0,0.0,8.0,20.0,50.0,30.0
14,3,19,14,5,22,50.0,4.0,3.0,13.0,50.0,50.0,50.0,50.0,0.0,1.0,10.0,20.0,50.0,30.0
15,13,7,7,0,20,50.0,4.0,6.0,19.0,50.0,50.0,50.0,50.0,0.0,2.0,16.0,19.0,50.0,31.0
16,15,3,2,1,20,50.0,3.0,1.0,22.0,43.0,50.0,47.0,50.0,0.0,2.0,13.0,17.0,50.0,24.0
17,8,6,5,1,14,50.0,2.0,2.0,18.0,34.0,50.0,37.0,50.0,0.0,2.0,15.0,10.0,50.0,21.0
